sequence_id,length,variant,backend_mode,backend_name,run_id,run_seed,num_variables,num_quadratic_terms,num_qubits,circuit_depth,best_optimized_objective,optimizer_evaluations,optimization_runtime_seconds,sampling_runtime_seconds,optimization_shots,sampling_shots,qaoa_reps,retained_samples,optimal_parameters_json,job_id,parameter_source,donor_sequence_id,donor_length,donor_num_variables
synth_000060,12,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.17873351599996568,0.00645500800010268,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000061,12,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.1788819869998406,0.004938658999890322,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000061,12,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.20726656800002274,0.006156299000167564,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000061,12,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.15112581499988664,0.004922708000094644,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000073,12,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.20020580000004884,0.005630527999983315,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000073,12,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.19855991000008544,0.005159289000175704,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000073,12,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.3486969460000182,0.022011673999941195,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000093,12,strict,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.3796498669998982,0.00560549900001206,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000093,12,relaxed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.17360162799991485,0.004590208999843526,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
synth_000093,12,postprocessed,aer,aer_simulator,aer_run_01_seed_666,666,1,0,1,2,-2.0,25.0,0.1908106339999449,0.005896477999840499,1024.0,2048,1,1,"[3.920446825988874, 2.3591500179215776]",,,,,
