sequence_id,length,variant,selected_for_simulation,selected_for_hardware,num_variables,num_quadratic_terms
synth_000395,20,postprocessed,True,True,7,0
synth_000382,20,strict,True,True,8,28
synth_000382,20,relaxed,True,True,8,27
synth_000382,20,postprocessed,True,True,8,0
synth_000378,20,strict,True,True,9,26
synth_000378,20,relaxed,True,True,9,25
synth_000378,20,postprocessed,True,True,9,0
synth_000386,20,strict,True,True,9,34
synth_000386,20,relaxed,True,True,9,34
synth_000386,20,postprocessed,True,True,9,0
synth_000356,20,strict,True,True,10,43
synth_000356,20,relaxed,True,True,10,29
synth_000356,20,postprocessed,True,True,10,0
synth_000358,20,strict,True,True,10,40
synth_000358,20,relaxed,True,True,10,38
synth_000358,20,postprocessed,True,True,10,0
synth_000390,20,strict,True,True,10,40
synth_000390,20,relaxed,True,True,10,27
synth_000390,20,postprocessed,True,True,10,0
synth_000397,20,strict,True,True,10,42
synth_000397,20,relaxed,True,True,10,35
synth_000397,20,postprocessed,True,True,10,0
synth_000400,20,strict,True,True,10,37
synth_000400,20,relaxed,True,True,10,25
synth_000400,20,postprocessed,True,True,10,0
synth_000354,20,strict,True,True,11,47
synth_000354,20,relaxed,True,True,11,37
synth_000354,20,postprocessed,True,True,11,0
synth_000357,20,strict,True,True,11,53
synth_000357,20,relaxed,True,True,11,34
synth_000357,20,postprocessed,True,True,11,0
synth_000374,20,strict,True,False,12,60
synth_000374,20,relaxed,True,False,12,43
synth_000374,20,postprocessed,True,False,12,0
synth_000388,20,strict,True,False,13,69
synth_000388,20,relaxed,True,False,13,43
synth_000388,20,postprocessed,True,False,13,0
synth_000361,20,strict,True,False,14,71
synth_000361,20,relaxed,True,False,14,58
synth_000361,20,postprocessed,True,False,14,0
synth_000362,20,strict,True,False,15,90
synth_000362,20,relaxed,True,False,15,63
synth_000362,20,postprocessed,True,False,15,0
synth_000369,20,strict,True,False,15,94
synth_000369,20,relaxed,True,False,15,80
synth_000369,20,postprocessed,True,False,15,0
synth_000372,20,strict,True,False,15,101
synth_000372,20,relaxed,True,False,15,91
synth_000372,20,postprocessed,True,False,15,0
synth_000352,20,strict,True,False,16,87
synth_000352,20,relaxed,True,False,16,71
synth_000352,20,postprocessed,True,False,16,0
synth_000353,20,strict,True,False,16,114
synth_000353,20,relaxed,True,False,16,85
synth_000353,20,postprocessed,True,False,16,0
synth_000387,20,strict,True,False,16,106
synth_000387,20,relaxed,True,False,16,85
synth_000387,20,postprocessed,True,False,16,0
synth_000393,20,strict,True,False,16,108
synth_000393,20,relaxed,True,False,16,91
synth_000393,20,postprocessed,True,False,16,0
synth_000396,20,strict,True,False,16,105
synth_000396,20,relaxed,True,False,16,89
synth_000396,20,postprocessed,True,False,16,0
synth_000377,20,strict,True,False,18,152
synth_000377,20,relaxed,True,False,18,127
synth_000377,20,postprocessed,True,False,18,0
synth_000379,20,strict,True,False,18,140
synth_000379,20,relaxed,True,False,18,117
synth_000379,20,postprocessed,True,False,18,0
synth_000391,20,strict,True,False,18,142
synth_000391,20,relaxed,True,False,18,100
synth_000391,20,postprocessed,True,False,18,0
synth_000392,20,strict,True,False,18,136
synth_000392,20,relaxed,True,False,18,95
synth_000392,20,postprocessed,True,False,18,0
synth_000180,15,strict,False,True,1,0
synth_000180,15,relaxed,False,True,1,0
synth_000180,15,postprocessed,False,True,1,0
synth_000200,15,strict,False,True,1,0
synth_000200,15,relaxed,False,True,1,0
synth_000200,15,postprocessed,False,True,1,0
synth_000171,15,strict,False,True,2,1
synth_000171,15,relaxed,False,True,2,0
synth_000171,15,postprocessed,False,True,2,0
synth_000183,15,strict,False,True,4,6
synth_000183,15,relaxed,False,True,4,6
synth_000183,15,postprocessed,False,True,4,0
synth_000151,15,strict,False,True,5,10
synth_000151,15,relaxed,False,True,5,6
synth_000151,15,postprocessed,False,True,5,0
synth_000156,15,strict,False,True,5,10
synth_000156,15,relaxed,False,True,5,10
synth_000156,15,postprocessed,False,True,5,0
synth_000159,15,strict,False,True,5,9
synth_000159,15,relaxed,False,True,5,6
synth_000159,15,postprocessed,False,True,5,0
synth_000174,15,strict,False,True,5,9
synth_000174,15,relaxed,False,True,5,8
synth_000174,15,postprocessed,False,True,5,0
synth_000195,15,strict,False,True,5,10
synth_000195,15,relaxed,False,True,5,7
synth_000195,15,postprocessed,False,True,5,0
synth_000188,15,strict,False,True,6,11
synth_000188,15,relaxed,False,True,6,11
synth_000188,15,postprocessed,False,True,6,0
synth_000190,15,strict,False,True,6,15
synth_000190,15,relaxed,False,True,6,9
synth_000190,15,postprocessed,False,True,6,0
synth_000158,15,strict,False,True,7,21
